subject,task_type,task_ordering,condition,subject_race,subject_age,subject_gender,character,opponent,simChar,simOpp,simDiff,simDiffRace,simDiffAge,simDiffGender,chosen,raceChar,ageChar,genderChar,raceOpp,ageOpp,genderOpp,subject_college,rt,data_index,AfraidChar,AfraidOpp,AfraidDiff,AngryChar,AngryOpp,AngryDiff,AttractiveChar,AttractiveOpp,AttractiveDiff,BabyfacedChar,BabyfacedOpp,BabyfacedDiff,DisgustedChar,DisgustedOpp,DisgustedDiff,DominantChar,DominantOpp,DominantDiff,FeminineChar,FeminineOpp,FeminineDiff,HappyChar,HappyOpp,HappyDiff,MasculineChar,MasculineOpp,MasculineDiff,PrototypicChar,PrototypicOpp,PrototypicDiff,SadChar,SadOpp,SadDiff,SuitabilityChar,SuitabilityOpp,SuitabilityDiff,SurprisedChar,SurprisedOpp,SurprisedDiff,ThreateningChar,ThreateningOpp,ThreateningDiff,TrustworthyChar,TrustworthyOpp,TrustworthyDiff,UnusualChar,UnusualOpp,UnusualDiff,WarmChar,WarmOpp,WarmDiff,CompetentChar,CompetentOpp,CompetentDiff,SocialStatusChar,SocialStatusOpp,SocialStatusDiff
1,choice,0,Threatening,Black,30,woman,464,81,2,0,2,1,0,1,0,black,52,female,white,21,male,yes,6174,0,1.481481481,2.0,-0.5185185189999999,2.185185185,2.172413793,0.012771391999999882,2.518518519,3.642857143,-1.124338624,1.222222222,4.068965517,-2.8467432949999996,1.62962963,1.655172414,-0.025542783999999985,3.0,2.607142857,0.3928571430000001,3.814814815,1.862068966,1.952745849,2.185185185,2.310344828,-0.12515964299999993,2.44,4.24137931,-1.8013793100000002,2.5,2.235294118,0.2647058819999999,1.962962963,2.586206897,-0.6232439339999998,,,,1.592592593,1.482758621,0.10983397199999989,1.923076923,2.137931034,-0.21485411100000018,3.88,3.275862069,0.6041379309999999,2.703703704,1.896551724,0.80715198,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,81,464,0,2,-2,-1,0,-1,1,white,21,male,black,52,female,yes,6174,0,2.0,1.481481481,0.5185185189999999,2.172413793,2.185185185,-0.012771391999999882,3.642857143,2.518518519,1.124338624,4.068965517,1.222222222,2.8467432949999996,1.655172414,1.62962963,0.025542783999999985,2.607142857,3.0,-0.3928571430000001,1.862068966,3.814814815,-1.952745849,2.310344828,2.185185185,0.12515964299999993,4.24137931,2.44,1.8013793100000002,2.235294118,2.5,-0.2647058819999999,2.586206897,1.962962963,0.6232439339999998,,,,1.482758621,1.592592593,-0.10983397199999989,2.137931034,1.923076923,0.21485411100000018,3.275862069,3.88,-0.6041379309999999,1.896551724,2.703703704,-0.80715198,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,280,487,3,1,2,1,1,0,0,black,27,female,south-asian,38,female,yes,2181,0,1.12,3.617647059,-2.4976470589999997,1.2,2.617647059,-1.4176470589999999,4.64,2.588235294,2.0517647059999997,1.92,2.058823529,-0.13882352900000017,1.2,4.029411765,-2.8294117649999997,2.68,,,5.52,5.058823529,0.4611764709999999,4.36,2.235294118,2.124705882,1.52,2.529411765,-1.0094117649999998,3.975609756,2.857142857,1.118466899,1.48,4.705882353,-3.225882353,,,,1.36,2.205882353,-0.8458823529999997,1.48,3.823529412,-2.343529412,3.88,3.529411765,0.350588235,2.52,3.647058824,-1.1270588240000001,,2.882352941,,,2.970588235,,,2.647058824,
1,choice,0,Threatening,Black,30,woman,487,280,1,3,-2,-1,-1,0,1,south-asian,38,female,black,27,female,yes,2181,0,3.617647059,1.12,2.4976470589999997,2.617647059,1.2,1.4176470589999999,2.588235294,4.64,-2.0517647059999997,2.058823529,1.92,0.13882352900000017,4.029411765,1.2,2.8294117649999997,,2.68,,5.058823529,5.52,-0.4611764709999999,2.235294118,4.36,-2.124705882,2.529411765,1.52,1.0094117649999998,2.857142857,3.975609756,-1.118466899,4.705882353,1.48,3.225882353,,,,2.205882353,1.36,0.8458823529999997,3.823529412,1.48,2.343529412,3.529411765,3.88,-0.350588235,3.647058824,2.52,1.1270588240000001,2.882352941,,,2.970588235,,,2.647058824,,
1,choice,0,Threatening,Black,30,woman,562,692,1,0,1,0,1,0,0,south-asian,30,male,latino,44,male,yes,1868,0,2.173913043,1.727272727,0.4466403160000003,2.130434783,3.181818182,-1.051383399,5.086956522,2.090909091,2.9960474310000005,2.869565217,1.818181818,1.0513833989999999,2.173913043,2.454545455,-0.28063241199999966,,3.090909091,,2.347826087,1.954545455,0.39328063199999996,4.739130435,1.818181818,2.9209486169999996,5.52173913,4.227272727,1.2944664030000004,2.909090909,2.733333333,0.17575757600000008,2.043478261,2.5,-0.4565217389999998,,,,3.434782609,1.409090909,2.0256917000000003,2.782608696,3.0,-0.21739130399999995,4.826086957,2.454545455,2.3715415020000004,2.913043478,2.227272727,0.6857707510000002,4.52173913,,,4.869565217,,,4.956521739,,
1,choice,0,Threatening,Black,30,woman,692,562,0,1,-1,0,-1,0,1,latino,44,male,south-asian,30,male,yes,1868,0,1.727272727,2.173913043,-0.4466403160000003,3.181818182,2.130434783,1.051383399,2.090909091,5.086956522,-2.9960474310000005,1.818181818,2.869565217,-1.0513833989999999,2.454545455,2.173913043,0.28063241199999966,3.090909091,,,1.954545455,2.347826087,-0.39328063199999996,1.818181818,4.739130435,-2.9209486169999996,4.227272727,5.52173913,-1.2944664030000004,2.733333333,2.909090909,-0.17575757600000008,2.5,2.043478261,0.4565217389999998,,,,1.409090909,3.434782609,-2.0256917000000003,3.0,2.782608696,0.21739130399999995,2.454545455,4.826086957,-2.3715415020000004,2.227272727,2.913043478,-0.6857707510000002,,4.52173913,,,4.869565217,,,4.956521739,
1,choice,0,Threatening,Black,30,woman,270,81,3,0,3,1,1,1,0,black,29,female,white,21,male,yes,1993,0,1.461538462,2.0,-0.538461538,1.555555556,2.172413793,-0.616858237,4.62962963,3.642857143,0.9867724870000001,2.777777778,4.068965517,-1.2911877389999997,1.461538462,1.655172414,-0.1936339519999999,2.923076923,2.607142857,0.31593406600000007,5.481481481,1.862068966,3.6194125150000005,2.653846154,2.310344828,0.34350132600000016,1.518518519,4.24137931,-2.7228607910000004,3.3125,2.235294118,1.077205882,1.592592593,2.586206897,-0.9936143039999998,,,,1.518518519,1.482758621,0.03575989799999979,1.481481481,2.137931034,-0.6564495530000001,3.740740741,3.275862069,0.4648786720000002,2.62962963,1.896551724,0.7330779060000001,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,81,270,0,3,-3,-1,-1,-1,1,white,21,male,black,29,female,yes,1993,0,2.0,1.461538462,0.538461538,2.172413793,1.555555556,0.616858237,3.642857143,4.62962963,-0.9867724870000001,4.068965517,2.777777778,1.2911877389999997,1.655172414,1.461538462,0.1936339519999999,2.607142857,2.923076923,-0.31593406600000007,1.862068966,5.481481481,-3.6194125150000005,2.310344828,2.653846154,-0.34350132600000016,4.24137931,1.518518519,2.7228607910000004,2.235294118,3.3125,-1.077205882,2.586206897,1.592592593,0.9936143039999998,,,,1.482758621,1.518518519,-0.03575989799999979,2.137931034,1.481481481,0.6564495530000001,3.275862069,3.740740741,-0.4648786720000002,1.896551724,2.62962963,-0.7330779060000001,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,562,280,1,3,-2,-1,0,-1,1,south-asian,30,male,black,27,female,yes,2706,0,2.173913043,1.12,1.053913043,2.130434783,1.2,0.9304347830000002,5.086956522,4.64,0.4469565220000007,2.869565217,1.92,0.949565217,2.173913043,1.2,0.9739130430000003,,2.68,,2.347826087,5.52,-3.1721739129999995,4.739130435,4.36,0.37913043499999954,5.52173913,1.52,4.001739130000001,2.909090909,3.975609756,-1.0665188469999998,2.043478261,1.48,0.5634782610000002,,,,3.434782609,1.36,2.0747826089999997,2.782608696,1.48,1.302608696,4.826086957,3.88,0.9460869570000003,2.913043478,2.52,0.39304347800000006,4.52173913,,,4.869565217,,,4.956521739,,
1,choice,0,Threatening,Black,30,woman,280,562,3,1,2,1,0,1,0,black,27,female,south-asian,30,male,yes,2706,0,1.12,2.173913043,-1.053913043,1.2,2.130434783,-0.9304347830000002,4.64,5.086956522,-0.4469565220000007,1.92,2.869565217,-0.949565217,1.2,2.173913043,-0.9739130430000003,2.68,,,5.52,2.347826087,3.1721739129999995,4.36,4.739130435,-0.37913043499999954,1.52,5.52173913,-4.001739130000001,3.975609756,2.909090909,1.0665188469999998,1.48,2.043478261,-0.5634782610000002,,,,1.36,3.434782609,-2.0747826089999997,1.48,2.782608696,-1.302608696,3.88,4.826086957,-0.9460869570000003,2.52,2.913043478,-0.39304347800000006,,4.52173913,,,4.869565217,,,4.956521739,
1,choice,0,Threatening,Black,30,woman,692,198,0,2,-2,-1,-1,0,0,latino,44,male,black,25,male,yes,2268,0,1.727272727,2.068965517,-0.3416927900000002,3.181818182,2.103448276,1.0783699060000003,2.090909091,3.821428571,-1.7305194800000003,1.818181818,3.551724138,-1.73354232,2.454545455,1.821428571,0.6331168839999999,3.090909091,3.172413793,-0.08150470200000015,1.954545455,2.24137931,-0.286833855,1.818181818,2.689655172,-0.8714733540000001,4.227272727,4.275862069,-0.048589342000000535,2.733333333,1.814814815,0.918518518,2.5,2.275862069,0.224137931,,,,1.409090909,2.068965517,-0.6598746080000002,3.0,1.965517241,1.034482759,2.454545455,3.793103448,-1.3385579930000002,2.227272727,3.034482759,-0.807210032,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,198,692,2,0,2,1,1,0,1,black,25,male,latino,44,male,yes,2268,0,2.068965517,1.727272727,0.3416927900000002,2.103448276,3.181818182,-1.0783699060000003,3.821428571,2.090909091,1.7305194800000003,3.551724138,1.818181818,1.73354232,1.821428571,2.454545455,-0.6331168839999999,3.172413793,3.090909091,0.08150470200000015,2.24137931,1.954545455,0.286833855,2.689655172,1.818181818,0.8714733540000001,4.275862069,4.227272727,0.048589342000000535,1.814814815,2.733333333,-0.918518518,2.275862069,2.5,-0.224137931,,,,2.068965517,1.409090909,0.6598746080000002,1.965517241,3.0,-1.034482759,3.793103448,2.454545455,1.3385579930000002,3.034482759,2.227272727,0.807210032,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,464,280,2,3,-1,0,-1,0,0,black,52,female,black,27,female,yes,5348,0,1.481481481,1.12,0.361481481,2.185185185,1.2,0.985185185,2.518518519,4.64,-2.1214814809999996,1.222222222,1.92,-0.6977777779999998,1.62962963,1.2,0.42962963,3.0,2.68,0.31999999999999984,3.814814815,5.52,-1.7051851849999995,2.185185185,4.36,-2.1748148150000004,2.44,1.52,0.9199999999999999,2.5,3.975609756,-1.4756097559999999,1.962962963,1.48,0.4829629630000001,,,,1.592592593,1.36,0.2325925929999999,1.923076923,1.48,0.443076923,3.88,3.88,0.0,2.703703704,2.52,0.18370370400000002,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,280,464,3,2,1,0,1,0,1,black,27,female,black,52,female,yes,5348,0,1.12,1.481481481,-0.361481481,1.2,2.185185185,-0.985185185,4.64,2.518518519,2.1214814809999996,1.92,1.222222222,0.6977777779999998,1.2,1.62962963,-0.42962963,2.68,3.0,-0.31999999999999984,5.52,3.814814815,1.7051851849999995,4.36,2.185185185,2.1748148150000004,1.52,2.44,-0.9199999999999999,3.975609756,2.5,1.4756097559999999,1.48,1.962962963,-0.4829629630000001,,,,1.36,1.592592593,-0.2325925929999999,1.48,1.923076923,-0.443076923,3.88,3.88,0.0,2.52,2.703703704,-0.18370370400000002,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,692,487,0,1,-1,0,0,-1,1,latino,44,male,south-asian,38,female,yes,1902,0,1.727272727,3.617647059,-1.890374332,3.181818182,2.617647059,0.5641711230000004,2.090909091,2.588235294,-0.4973262030000001,1.818181818,2.058823529,-0.2406417110000001,2.454545455,4.029411765,-1.57486631,3.090909091,,,1.954545455,5.058823529,-3.1042780739999998,1.818181818,2.235294118,-0.4171123000000001,4.227272727,2.529411765,1.697860962,2.733333333,2.857142857,-0.1238095239999999,2.5,4.705882353,-2.205882353,,,,1.409090909,2.205882353,-0.7967914439999999,3.0,3.823529412,-0.8235294120000001,2.454545455,3.529411765,-1.07486631,2.227272727,3.647058824,-1.4197860970000002,,2.882352941,,,2.970588235,,,2.647058824,
1,choice,0,Threatening,Black,30,woman,487,692,1,0,1,0,0,1,0,south-asian,38,female,latino,44,male,yes,1902,0,3.617647059,1.727272727,1.890374332,2.617647059,3.181818182,-0.5641711230000004,2.588235294,2.090909091,0.4973262030000001,2.058823529,1.818181818,0.2406417110000001,4.029411765,2.454545455,1.57486631,,3.090909091,,5.058823529,1.954545455,3.1042780739999998,2.235294118,1.818181818,0.4171123000000001,2.529411765,4.227272727,-1.697860962,2.857142857,2.733333333,0.1238095239999999,4.705882353,2.5,2.205882353,,,,2.205882353,1.409090909,0.7967914439999999,3.823529412,3.0,0.8235294120000001,3.529411765,2.454545455,1.07486631,3.647058824,2.227272727,1.4197860970000002,2.882352941,,,2.970588235,,,2.647058824,,
1,choice,0,Threatening,Black,30,woman,280,81,3,0,3,1,1,1,0,black,27,female,white,21,male,yes,1775,0,1.12,2.0,-0.8799999999999999,1.2,2.172413793,-0.9724137930000001,4.64,3.642857143,0.9971428569999996,1.92,4.068965517,-2.1489655169999997,1.2,1.655172414,-0.45517241399999997,2.68,2.607142857,0.07285714300000024,5.52,1.862068966,3.6579310339999997,4.36,2.310344828,2.0496551720000005,1.52,4.24137931,-2.72137931,3.975609756,2.235294118,1.7403156379999998,1.48,2.586206897,-1.1062068969999999,,,,1.36,1.482758621,-0.12275862100000001,1.48,2.137931034,-0.6579310340000002,3.88,3.275862069,0.6041379309999999,2.52,1.896551724,0.623448276,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,81,280,0,3,-3,-1,-1,-1,1,white,21,male,black,27,female,yes,1775,0,2.0,1.12,0.8799999999999999,2.172413793,1.2,0.9724137930000001,3.642857143,4.64,-0.9971428569999996,4.068965517,1.92,2.1489655169999997,1.655172414,1.2,0.45517241399999997,2.607142857,2.68,-0.07285714300000024,1.862068966,5.52,-3.6579310339999997,2.310344828,4.36,-2.0496551720000005,4.24137931,1.52,2.72137931,2.235294118,3.975609756,-1.7403156379999998,2.586206897,1.48,1.1062068969999999,,,,1.482758621,1.36,0.12275862100000001,2.137931034,1.48,0.6579310340000002,3.275862069,3.88,-0.6041379309999999,1.896551724,2.52,-0.623448276,,,,,,,,,
1,choice,0,Threatening,Black,30,woman,270,464,3,2,1,0,1,0,0,black,29,female,black,52,female,yes,1985,0,1.461538462,1.481481481,-0.019943019000000062,1.555555556,2.185185185,-0.6296296289999999,4.62962963,2.518518519,2.111111111,2.777777778,1.222222222,1.5555555559999998,1.461538462,1.62962963,-0.1680911679999999,2.923076923,3.0,-0.076923077,5.481481481,3.814814815,1.6666666660000002,2.653846154,2.185185185,0.4686609690000001,1.518518519,2.44,-0.921481481,3.3125,2.5,0.8125,1.592592593,1.962962963,-0.37037037000000006,,,,1.518518519,1.592592593,-0.0740740740000001,1.481481481,1.923076923,-0.4415954419999999,3.740740741,3.88,-0.1392592589999997,2.62962963,2.703703704,-0.07407407399999988,,,,,,,,,
