Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Ethnicity,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
67636ee075c6231aceb4be20,5a9ac3061eda410001366658,APPROVED,Not Applicable,2024-12-19T00:54:59.748000Z,2024-12-19T00:58:46.596000Z,2024-12-19T00:58:54.132000Z,2024-12-19T00:58:48.238485Z,227.0,CXUL2UL2,2878,White,33,Male,White,United States,United States,United States,English,No,Full-Time
67636f7ec9d7b96e8ab860ce,5fc035f6c039c1402117124b,APPROVED,Not Applicable,2024-12-19T00:57:38.151000Z,2024-12-19T01:08:24.971000Z,2024-12-19T01:08:26.074000Z,2024-12-19T01:08:29.351826Z,647.0,CXUL2UL2,1474,White,29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
676370392644e154b0590ef8,66a7cf3480e5c2088515ba0b,APPROVED,Not Applicable,2024-12-19T01:00:48.578000Z,2024-12-19T01:07:04.722000Z,2024-12-19T01:07:05.771000Z,2024-12-19T01:07:12.750879Z,377.0,CXUL2UL2,714,White,24,Male,White,United States,United States,United States,English,No,Part-Time
67637063a6461393a9cf0bcf,5e29cc3230cf9d03580c34bf,APPROVED,Not Applicable,2024-12-19T01:01:26.909000Z,2024-12-19T01:07:08.106000Z,2024-12-19T01:07:09.634000Z,2024-12-19T01:07:16.306525Z,342.0,CXUL2UL2,3143,White,35,Male,White,United States,United States,United States,English,No,Full-Time
67637081f88dff8cc24dbf2d,5dd7d4d5d3ac2a92dfbb40d5,APPROVED,Not Applicable,2024-12-19T01:02:00.104000Z,2024-12-19T01:05:02.237000Z,2024-12-19T01:05:49.575000Z,2024-12-19T01:05:04.649736Z,183.0,CXUL2UL2,1636,White,28,Male,White,United States,United States,United States,English,Yes,Full-Time
6763708c6d973938828e9e5f,5dda6f4e82569a9cea908bb2,APPROVED,Not Applicable,2024-12-19T01:02:09.849000Z,2024-12-19T01:05:53.596000Z,2024-12-19T01:06:18.593000Z,2024-12-19T01:05:54.782458Z,224.0,CXUL2UL2,5931,East Asian,27,Male,Asian,United States,United States,United States,Chinese,DATA_EXPIRED,DATA_EXPIRED
67637149a3eed360108369e9,6646593dfa10a56e00077aa4,APPROVED,Not Applicable,2024-12-19T01:05:21.684000Z,2024-12-19T01:13:38.082000Z,2024-12-19T01:13:39.204000Z,2024-12-19T01:14:33.872488Z,497.0,CXUL2UL2,64,White,27,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6763716172736a30750a819d,663e4ea56a8f7e3390284e68,APPROVED,Not Applicable,2024-12-19T01:07:07.656000Z,2024-12-19T01:09:52.888000Z,2024-12-19T01:12:15.256000Z,2024-12-19T01:12:18.311958Z,166.0,CXUL2UL2,928,White,25,Female,White,United States,United States,United States,English,No,Full-Time
67637224d63be1124f52d82a,6658846d7a5904a832b5f101,APPROVED,Not Applicable,2024-12-19T01:08:58.811000Z,2024-12-19T01:14:05.304000Z,2024-12-19T01:14:06.992000Z,2024-12-19T01:14:55.496878Z,307.0,CXUL2UL2,256,Black/African American,34,Female,Black,United States,United States,United States,English,DATA_EXPIRED,Part-Time
6763723888e8433d872f7443,5f1b55267edce210c08134de,APPROVED,Not Applicable,2024-12-19T01:09:18.602000Z,2024-12-19T01:38:14.219000Z,2024-12-19T01:38:16.191000Z,2024-12-19T01:38:14.814747Z,1736.0,CXUL2UL2,110,Black/African American,23,Male,Black,United States,United States,United States,English,Yes,Other
