"subject","task_type","task_ordering","condition","subject_race","subject_age","subject_gender","character_id","opponent","simChar","simOpp","simDiff","simDiffRace","simDiffAge","simDiffGender","chosen","raceChar","ageChar","genderChar","raceOpp","ageOpp","genderOpp","subject_college","subject_ability","subject_awareness","rt","data_index"
"1","choice",1,"Competitive","White",33,"man","226",235,1,1,0,0,0,0,1,"latino",21,"male","east-asian",41,"male","yes","[7]","yes",6354,0
"1","choice",1,"Competitive","White",33,"man","235",226,1,1,0,0,0,0,0,"east-asian",41,"male","latino",21,"male","yes","[7]","yes",6354,0
"1","choice",1,"Competitive","White",33,"man","645",426,2,2,0,-1,1,0,1,"black",34,"male","white",29,"male","yes","[7]","yes",3276,0
"1","choice",1,"Competitive","White",33,"man","426",645,2,2,0,1,-1,0,1,"white",29,"male","black",34,"male","yes","[7]","yes",3276,0
"1","choice",1,"Competitive","White",33,"man","20",226,0,1,-1,0,0,-1,1,"latino",29,"female","latino",21,"male","yes","[7]","yes",2275,0
"1","choice",1,"Competitive","White",33,"man","226",20,1,0,1,0,0,1,1,"latino",21,"male","latino",29,"female","yes","[7]","yes",2275,0
"1","choice",1,"Competitive","White",33,"man","735",645,3,2,1,1,0,0,1,"white",34,"male","black",34,"male","yes","[7]","yes",1519,0
"1","choice",1,"Competitive","White",33,"man","645",735,2,3,-1,-1,0,0,1,"black",34,"male","white",34,"male","yes","[7]","yes",1519,0
"1","choice",1,"Competitive","White",33,"man","235",4,1,0,1,0,0,1,0,"east-asian",41,"male","latino",23,"female","yes","[7]","yes",2022,0
"1","choice",1,"Competitive","White",33,"man","4",235,0,1,-1,0,0,-1,0,"latino",23,"female","east-asian",41,"male","yes","[7]","yes",2022,0
"1","choice",1,"Competitive","White",33,"man","645",226,2,1,1,0,1,0,1,"black",34,"male","latino",21,"male","yes","[7]","yes",1379,0
"1","choice",1,"Competitive","White",33,"man","226",645,1,2,-1,0,-1,0,1,"latino",21,"male","black",34,"male","yes","[7]","yes",1379,0
"1","choice",1,"Competitive","White",33,"man","735",736,3,3,0,0,0,0,0,"white",34,"male","white",35,"male","yes","[7]","yes",2283,0
"1","choice",1,"Competitive","White",33,"man","736",735,3,3,0,0,0,0,0,"white",35,"male","white",34,"male","yes","[7]","yes",2283,0
"1","choice",1,"Competitive","White",33,"man","20",645,0,2,-2,0,-1,-1,1,"latino",29,"female","black",34,"male","yes","[7]","yes",1676,0
"1","choice",1,"Competitive","White",33,"man","645",20,2,0,2,0,1,1,1,"black",34,"male","latino",29,"female","yes","[7]","yes",1676,0
"1","choice",1,"Competitive","White",33,"man","4",226,0,1,-1,0,0,-1,0,"latino",23,"female","latino",21,"male","yes","[7]","yes",1285,0
